減	减
渨	隈
温	溫
渫	泄 洩
渰	淹
渹	𢕐 𥔀 訇
湊	凑
湌	餐
湏	須
湧	涌
湻	淳
湼	涅
溉	摡
準	准
溫	温
溯	㴑 遡
溺	氼
溻	褟
溼	濕
溽	縟
滅	烕
滙	匯
滺	悠
漁	䱷
漆	㯃 桼
漇	𢳜
漎	潨
漫	澷
漰	淜
漾	瀁
漿	𤕯
潛	潜
潜	潛
潝	㴔
潣	浼
潨	漎
潬	灘
潸	𣽽
澀	澁 濇 瀒
澁	澀 濇
澈	徹
澗	磵
澣	浣
澳	襖 𥜌
澷	漫
澹	淡
濇	澀 澁 瀒
濕	溼
濛	霥 靀
濬	浚
濱	濵 瀕
濵	濱 瀕
濶	闊
濿	砅
瀁	漾
瀒	澀 濇
瀕	濱 濵
灑	洒
灘	潬
火	灬
灬	火
灯	燈
灰	灰
灴	烘
灵	靈
灶	竈
災	灾 烖 菑
灾	災 菑 烖
炁	氣
炉	爐
炤	照
炮	砲 炰 礮
炯	烱
炰	炮
炸	煠
点	點
為	爲
烊	煬
烕	滅
烖	災 灾 菑
烘	灴
烛	燭
烜	晅
烝	蒸
烟	完 菸 煙
烱	炯
焊	釬
無	无 橆
焧	熜 𮳳
焰	燄
煅	鍛
煆	鍜
煇	輝
煑	煮
煖	暖
煙	完 烟 菸
煠	炸
照	炤
煬	烊
煮	煑 䰞
煳	㷻
熇	燺
熈	熙
熏	燻 𤑕
熔	鎔
熙	熈
熜	焧 𮳳
熠	𮳜
熨	㷉
熱	𤍠
燄	焰
燈	灯
燐	㷠 粦
燒	簫
燭	烛
燺	熇
燻	熏
燿	曜 耀
爐	炉
爪	㕚 爫
爫	㕚 爪
爭	争
爲	為
爾	尒 尔
爿	𤕪
牀	床
牄	蹌
牆	墻 廧
版	板
牋	箋
牕	窻 窗 窓
牛	牜
牜	牛
牟	麰
牠	他 它
牴	觝
犁	犂
犂	犁
犇	奔
犬	犭
犭	犬
犲	豺
犴	豻
犹	猶
狥	侚 殉
独	獨
狵	尨
狷	獧
狸	貍
狹	陜
狻	䝜
猇	唬 虓
猋	飇 颮
猗	欹
猨	蝯 猿
猪	豬
猫	貓
猬	蝟
献	獻
猶	犹
猿	猨 蝯
獃	呆
獐	麞
獠	䝤
獧	狷
獨	独
獫	玁
獲	𫉬
獵	𤢪
獻	献
獾	貛
玁	獫
玄	伭
玅	妙
玆	兹 茲
玖	九
玟	玫
玫	玟
玳	瑇
珉	䃉 砇
珍	珎
珎	珍
珪	圭
珷	碔
琄	鞙
琅	瑯
琉	瑠 璢
瑇	玳
瑙	碯
瑠	琉
瑯	琅
璁	𤥼 𤦏 𤧚 𮴨
璃	瓈
璇	璿
璢	琉
璽	壐
璿	璇 𤩡
瓈	璃
瓟	匏
瓮	罋 甕
瓶	缾
瓷	甆 磁
甆	瓷
甎	磚
甕	瓮 罋
甖	罌 罃
甗	𮴼
甞	嘗
甤	蕤
甦	穌
甬	埇
甯	寗
町	圢
画	畫
甽	畎
甾	菑
甿	氓
畄	留 畱
畆	畝
畊	耕
畎	甽
留	畄 畱
畝	畆 𤱈
略	畧
畧	略
畫	画 畵
畱	畄 留
畵	畫
畺	疆
畽	疃
疃	畽
疆	畺
疊	叠 曡
疋	匹
疍	蛋
疎	疏
疏	疎
疣	肬
疱	皰
疴	痾
疸	癉
疹	胗
痄	𤶙
痐	蚘
痒	癢
痮	脹
痴	癡
痹	痺
痺	痹
痼	㽽
痾	疴
瘂	啞
瘉	癒
瘨	癲
瘶	嗽
瘺	瘻
瘻	瘺
癉	疸
癒	瘉
癡	痴
癢	痒
癯	臞
癲	瘨
登	豋
百	佰
皁	皂
皂	皁
皃	貎 貌
的	旳
皋	臯 睾
皎	㿟 皦
皓	顥 皝
皜	暠
皝	皓 顥
皞	皡 皥
皡	皞 皥
皥	皞 皡
皦	㿟 皎
皰	疱
皷	鼔 鼓
皺	縐
盃	杯
盇	盍
益	益
盌	椀 碗
盍	盇
盖	蓋 葢
盗	盜
盙	簠
盜	𠪁
盞	醆
盡	尽
盩	盭
盪	蕩 蘯
盭	盩
眇	緲
眈	躭
眎	視
眞	真
真	眞
眥	眦
眦	眥
眾	衆 𠂝
着	著
睏	困
睫	䀹
睹	覩
睾	皋
睿	叡
瞅	矁 𬑡
瞍	𥈟
瞠	瞪
瞥	苤
瞪	瞠
瞬	䀢
瞯	瞷
瞰	矙
瞷	瞯
瞹	曖
瞿	䀠
矁	瞅 𬑡
矋	矖
矖	矋
矙	瞰
矧	訠
矮	躷
石	𥐘
砅	濿
砇	珉
砌	纖
砒	磇
研	揅
砠	岨
砣	𥓿 鉈
砥	厎
砦	寨
砧	碪
砲	炮 礮
硜	䃘 踁
硤	唊
硭	𥐞
碁	棊 棋
碍	㝵 礙
碔	珷
碕	㟢 埼 崎 嵜 陭 﨑 𥔎
碗	椀 盌
碪	砧
碯	瑙 𮵑
碰	掽
碱	鹼 鹻
磁	瓷
磇	砒
磊	磥
磌	𧰊
磒	隕
磚	塼 甎
磛	嶃
磡	墈
磥	磊
磪	崔
磴	嶝
磵	澗
磽	墝
礙	㝵 碍
礟	礮
礦	鑛
礮	炮 砲 礟
礱	𤮨
礶	罐
示	礻
礻	示
礼	礼 禮
礿	禴
祐	佑
祕	秘
禀	稟
禂	禱
禮	礼 礼
禱	禂
禴	礿
禿	秃
秃	禿
秄	耔
秆	稈
秇	埶 蓺 藝
秈	籼
秋	䆋 秌 龝
秌	秋
秏	耗
秐	耘
秔	粳 稉
秕	粃
秘	祕
秸	稭
移	迻
稈	秆
稉	秔 粳
稊	䄺
稘	朞
稚	䕌 穉 稺
稜	棱 楞
稟	禀
稬	糯
稭	秸
稱	偁 穪
稺	稚
稾	稿
稿	槀 稾
穀	糓
穅	糠
穆	𥟟
穉	稚
穌	甦
穎	頴
穤	糯
穩	㒚
穪	偁 稱
穫	檴
穽	阱
窃	竊
窌	窖
窓	䆫 牕 窗 窻
窖	窌
窗	䆫 牕 窓 窻
窠	䆼
窮	竆
窯	窰
窰	窯
窴	塡
窶	寠
窻	牕 窓 窗
竆	窮
竈	灶
竉	䆔 𥥅
竊	窃
竒	奇
竚	佇
竝	並 并 幷
竢	俟
竦	𢖗
竪	豎
競	誩
竻	簕 𥵚
竿	𣔼
笋	筍
笑	咲
笓	篦
笔	筆
笛	篴
笨	㤒
筆	笔
筍	笋
筏	栰
答	荅
筦	管
筭	算
筯	箸
筱	篠
箇	个 個
箋	牋
箍	箛
箎	篪
箒	帚
箖	籃
算	筭
箛	箍
箠	捶
管	筦
箴	針 鍼
箸	筯
箾	簫
篋	匧
篠	筱
篡	簒
篢	槓
篦	笓
篩	簛 簁
篪	箎
篴	笛
篺	棑
簁	篩 簛
簋	𣪕 𣪘
簌	雝
簒	篡
簕	竻
簛	篩 簁
簠	盙
簡	耕
簣	蕢 籄
簨	栒
簫	燒 箾
簷	檐
簻	檛
簾	𢅖 𢅏
籃	箖
籄	簣 蕢
籐	藤
籑	䉵 饌
籥	龠
籲	龥
籼	秈
粃	秕
